File,Table,Column,Current Type,Issue,Severity,Recommendation
"/db/schema/admin/auditLogs.ts","auditLogs","entityId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/backups.ts","adminBackups","operationId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/backups.ts","adminBackups","sourceBackupId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/emailTemplates.ts","emailTemplates","useCount","serial","Serial column should be integer with proper default","low","Change to: useCount: integer('useCount').notNull().default(0)"
"/db/schema/admin/emailTemplates.ts","emailTemplates","version","serial","Serial column should be integer with proper default","low","Change to: version: integer('version').notNull().default(0)"
"/db/schema/admin/emailTemplates.ts","emailTemplates","previousVersionId","serial","Serial column should be integer with proper default","low","Change to: previousVersionId: integer('previousVersionId').notNull().default(0)"
"/db/schema/admin/emailTemplates.ts","emailTemplates","templateId","serial","Serial column should be integer with proper default","low","Change to: templateId: integer('templateId').notNull().default(0)"
"/db/schema/admin/emailTemplates.ts","emailTemplates","version","serial","Serial column should be integer with proper default","low","Change to: version: integer('version').notNull().default(0)"
"/db/schema/admin/emailTemplates.ts","emailTemplates","templateId","serial","Serial column should be integer with proper default","low","Change to: templateId: integer('templateId').notNull().default(0)"
"/db/schema/admin/moderationActions.ts","contentModerationActions","moderatorId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/moderator-notes.ts","moderatorNotes","itemId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/reports.ts","reportedContent","reporterId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/shoutboxConfig.ts","shoutboxConfig","roomId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/shoutboxConfig.ts","shoutboxConfig","roomId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/shoutboxConfig.ts","shoutboxConfig","userId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/shoutboxConfig.ts","shoutboxConfig","ignoredUserId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/shoutboxConfig.ts","shoutboxConfig","roomId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/shoutboxConfig.ts","shoutboxConfig","emojiId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/shoutboxConfig.ts","shoutboxConfig","roomId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/shoutboxConfig.ts","shoutboxConfig","userId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/shoutboxConfig.ts","shoutboxConfig","roomId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/shoutboxConfig.ts","shoutboxConfig","sessionId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/uiConfig.ts","uiQuotes","collectionId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/uiConfig.ts","uiQuotes","quoteId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/admin/uiConfig.ts","uiQuotes","quoteId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/advertising/campaigns.ts","campaigns","advertiserUserId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/advertising/payments.ts","cryptoPayments","campaignId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/advertising/payments.ts","cryptoPayments","payerUserId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/advertising/payments.ts","cryptoPayments","proposerUserId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/advertising/payments.ts","cryptoPayments","discussionThreadId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/advertising/payments.ts","cryptoPayments","proposalId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/advertising/payments.ts","cryptoPayments","voterUserId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/advertising/performance.ts","adImpressions","campaignId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/advertising/performance.ts","adImpressions","placementId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/advertising/performance.ts","adImpressions","sessionId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/advertising/performance.ts","adImpressions","threadId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/advertising/performance.ts","adImpressions","campaignId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/advertising/targeting.ts","campaignRules","campaignId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/advertising/user-promotions.ts","userPromotions","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/advertising/user-promotions.ts","userPromotions","contentId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/advertising/user-promotions.ts","userPromotions","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
